id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23924450,"Habitacion privada, en el corazón de la ciudad",118228974,Karla,,Cuauhtémoc,19.43035,-99.15993,Private room,898,3,0,,,1,0
23924464,Hermoso Departamento en el Corazón de La Ciudad.,107823062,Maritza,,Cuauhtémoc,19.42892,-99.14794,Entire home/apt,765,2,32,2019-06-03,2.44,1,256
23924789,Full apartment - HOTEL AMENITIES!,156085152,Hosteando,,Cuauhtémoc,19.42447,-99.16845,Private room,1988,1,8,2019-02-24,0.53,14,365
23924869,7* Renta Habitación DESCUENTO POR SEMANA Y MES!!,64363285,Perla,,Álvaro Obregón,19.33848,-99.19533,Private room,707,7,2,2019-02-25,0.19,5,230
23925324,Cuarto en la Condesa con baño propio Am8,28628593,Sabine Y Eduardo,,Cuauhtémoc,19.41044,-99.17662,Private room,497,1,10,2018-05-20,0.68,18,0
23925471,Mexican Style room at the heart of Condesa!,96083531,Lina,,Cuauhtémoc,19.41327,-99.1684,Private room,459,2,11,2019-06-03,1.24,1,160
23925723,Habitación iluminada en la Roma A7,120954109,Mario,,Cuauhtémoc,19.41325,-99.1624,Private room,249,1,22,2019-05-26,1.46,12,361
23926260,Estudió Rústico Mexicano con Jardín,179867990,Alejandro,,La Magdalena Contreras,19.30991,-99.24736,Private room,593,1,0,,,1,83
23926705,Bonito cuarto con espectacular vista,179872967,David A.,,Miguel Hidalgo,19.43617,-99.17319,Private room,382,3,27,2019-06-12,5.26,1,124
23927148,Loft privado,179877983,Georgina,,Gustavo A. Madero,19.5074,-99.14688,Private room,287,1,48,2019-06-01,3.26,1,358
23927537,Suite Coco Condesa,176203961,Héctor Y Karen,,Cuauhtémoc,19.40872,-99.16942,Entire home/apt,669,2,51,2019-06-16,3.36,5,81
23928356,Hermosa habitación privada Coyoacán,84308108,Lía,,Coyoacán,19.34792,-99.16857,Private room,497,1,45,2019-05-31,2.97,1,89
23929231,"Habitación cómoda silenciosa,Napoles,Ciudad de Mex",72236102,Ethianne,,Benito Juárez,19.39156,-99.177,Private room,401,1,13,2019-05-04,0.88,2,328
23929374,Best part of Town / Preciosa suite en super zona,102957946,Antonio,,Cuauhtémoc,19.41943,-99.16568,Entire home/apt,841,1,2,2019-06-23,2,2,328
23935259,Suite Diego y Frida,177709309,Casa,,Coyoacán,19.3514,-99.15194,Private room,2944,1,1,2019-03-02,0.26,3,328
23938654,Habitación privada - Private room Nápoles,31920690,Ana Lucia,,Benito Juárez,19.38465,-99.17909,Private room,249,45,1,2018-04-03,0.07,1,44
23939560,Berlín 27. Cómodo Departamento,21214051,Lupita,,Cuauhtémoc,19.428,-99.15637,Entire home/apt,879,2,2,2018-04-27,0.14,1,0
23939824,"Cozy, modern, centrally located, great views",17214848,Vanessa,,Cuauhtémoc,19.40689,-99.16012,Entire home/apt,956,2,22,2019-06-17,1.55,1,150
23939891,Your place! :D,146391602,Fernanda,,Miguel Hidalgo,19.40855,-99.191,Private room,249,1,7,2019-04-07,0.47,1,313
23940050,Blissful 2 Bedroom | Roma Norte,2252401,Danny,,Cuauhtémoc,19.42073,-99.16407,Entire home/apt,3613,1,5,2018-12-15,0.33,2,365
23940465,Habitacion Col Valle Sur Insurgentes,35440246,Adrian,,Benito Juárez,19.36998,-99.17598,Private room,344,1,2,2018-11-24,0.15,2,365
23941557,Habitacion en la del Valle Insurgentes,35440246,Adrian,,Benito Juárez,19.36872,-99.17733,Private room,325,1,1,2018-11-13,0.13,2,365
23942002,"Roma Sur: Best CDMX location, roomy apartment",63250617,Lorena,,Cuauhtémoc,19.40416,-99.15905,Entire home/apt,707,2,14,2019-05-25,0.96,3,35
23943080,Polanco Masaryk Avenue,4297862,Luis M,,Miguel Hidalgo,19.43186,-99.19117,Entire home/apt,2734,3,2,2019-06-09,0.14,5,235
23943898,Roofgarden room at San Pedro de los Pinos,174393270,Eric,,Benito Juárez,19.38647,-99.18802,Private room,401,1,1,2018-05-23,0.08,2,177
23944388,Seguro y tranquilo departamento dos cuadras Insurg,127436518,Luis Xavier,,Cuauhtémoc,19.40884,-99.16629,Entire home/apt,1204,2,13,2019-05-27,1.64,4,1
23945334,Condesa modern and stylish aprtment,88997047,Karla,,Cuauhtémoc,19.41562,-99.1758,Entire home/apt,2390,2,60,2019-06-09,4.16,4,168
23945564,Departamento para profesores visitantes a la UNAM,79167493,Martin,,Coyoacán,19.33294,-99.17644,Entire home/apt,593,7,2,2018-06-18,0.15,1,0
23945689,Lovely apartment with beautiful rooftop in Condesa,156707663,Cristina & Berny,,Cuauhtémoc,19.40999,-99.17421,Entire home/apt,2504,1,65,2019-06-18,4.34,1,318
23945849,La luz encendida,180038450,Carlos,,Venustiano Carranza,19.41959,-99.11116,Private room,1300,1,0,,,1,365
23946548,Habitación baño privado a 50m de la av. más lujosa,59207536,Hugo,,Miguel Hidalgo,19.43196,-99.192,Private room,593,1,134,2019-06-21,8.93,3,292
23946865,Pent house with Mexico City Skyline,88997047,Karla,,Cuauhtémoc,19.41574,-99.17405,Entire home/apt,2676,2,70,2019-06-08,4.87,4,127
23947291,"Lovely loft in Coyoacan, 5 blocks from Frida's",180056966,Silvia,,Coyoacán,19.35418,-99.15752,Entire home/apt,841,1,40,2019-05-01,2.67,1,0
23947745,Habitacions amplias y lindas p.foranios y nativos,106420548,Angelica,,Benito Juárez,19.37248,-99.17041,Private room,497,4,1,2018-07-12,0.09,1,365
23957307,Full Apartment w/fitness center in Reforma K3,156085152,Hosteando,,Cuauhtémoc,19.42472,-99.16995,Entire home/apt,1988,1,4,2019-04-20,0.30,14,365
23957804,Suite in Reforma. Hotel amenities. Pool/Gym. K5,156085152,Hosteando,,Cuauhtémoc,19.42527,-99.17051,Entire home/apt,1988,1,6,2019-03-18,0.40,14,365
23958007,Full Suite. Amazing View. Hotel Amenities. K11,156085152,Hosteando,,Cuauhtémoc,19.42441,-99.16855,Entire home/apt,1988,1,13,2019-04-21,0.86,14,365
23958426,Best flat in Reforma. Suite. Jacuzzi and gym. K12,156085152,Hosteando,,Cuauhtémoc,19.425,-99.16968,Entire home/apt,1988,1,6,2019-02-22,0.40,14,365
23958598,Full Suite. *Hotel Amenities* WALK EVERYWHERE -K13,156085152,Hosteando,,Cuauhtémoc,19.42612,-99.16837,Entire home/apt,1988,1,5,2019-03-17,0.39,14,365
23958831,Bright and Modern Aparment in Roma Norte,782583,Rodolfo,,Cuauhtémoc,19.41577,-99.16112,Entire home/apt,612,2,18,2019-03-18,1.63,1,0
23959123,"Great Suite w/hotel Amenities, jacuzzi and gym K15",156085152,Hosteando,,Cuauhtémoc,19.42521,-99.1683,Entire home/apt,1988,1,9,2019-04-21,0.59,14,365
23959253,CUARTO MARINO,180160396,Anabela,,Benito Juárez,19.3818,-99.17252,Private room,382,1,36,2019-06-23,5.12,1,353
23960833,"CDMX COLONIA JUÁREZ, ELEGANTE Y ESTILO. BERLÍN 29",28923716,Hermilo Y Lupita,,Cuauhtémoc,19.42756,-99.15625,Entire home/apt,918,1,24,2019-05-05,1.60,1,258
23961454,Departamento 13 en el Corazón de la Condesa,162712408,Roberto,,Cuauhtémoc,19.41529,-99.17458,Entire home/apt,593,2,71,2019-06-15,4.69,2,350
23961623,Linda recámara privada en departamento en la Roma,20510347,Lalo,,Cuauhtémoc,19.40616,-99.16052,Private room,306,4,22,2019-06-01,1.51,3,174
23965650,Skip the traffic and enjoy @ Nuevo Polanco / CARSO,158075718,Guest House,,Miguel Hidalgo,19.44372,-99.20716,Entire home/apt,898,2,42,2019-06-14,3.07,8,129
23965677,WISH YOU WHERE HERE @ Roma Norte w/3 balconies,180230936,Sinaloa 44 Guest House,,Cuauhtémoc,19.42039,-99.16631,Entire home/apt,1491,1,63,2019-06-23,4.24,7,167
23966207,Loft en Santa Fe,17609047,José Humberto,,Álvaro Obregón,19.37993,-99.2527,Entire home/apt,1797,14,3,2018-04-13,0.20,1,180
23966299,Loft Arte - ROMA  Norte,180201772,Olivia González,,Cuauhtémoc,19.41864,-99.15754,Entire home/apt,1166,2,35,2019-05-30,2.68,2,227
23966363,Excelentes habitaciones súper céntrico,176142786,Oly,,Benito Juárez,19.36565,-99.17268,Private room,497,2,1,2019-05-22,0.88,2,364
23969468,Cozy remodeled apartment near Condesa.,5274515,Michael,,Miguel Hidalgo,19.40022,-99.17125,Entire home/apt,784,2,0,,,2,359
23976123,Grandioso departamento en Centro de Coyoacán,180334707,Ernesto,,Benito Juárez,19.36186,-99.17263,Entire home/apt,1644,2,32,2019-04-23,2.13,1,139
23976597,Spacius 2 bedroom and Parking lot Narvarte,2281290,Suites,,Benito Juárez,19.39563,-99.14841,Entire home/apt,497,2,14,2018-12-31,0.96,24,296
23977310,"Departamento en Polanquito, lavadora, balcón",1140427,Erick,,Miguel Hidalgo,19.43069,-99.19557,Entire home/apt,1587,2,7,2019-06-21,0.96,7,63
23977806,Frida’s Peaceful Place,49642900,Norma,,Coyoacán,19.34786,-99.15757,Entire home/apt,631,1,70,2019-06-16,4.64,6,330
23978551,Cómoda habitación en departamento - Roma Norte.,140972807,Alonso,,Cuauhtémoc,19.41433,-99.16541,Private room,497,1,19,2019-06-02,2.98,1,49
23980681,Gorgeous apartment at the heart of La Condesa.,179601294,Sebastián,,Cuauhtémoc,19.41599,-99.16944,Entire home/apt,1396,2,35,2019-05-07,2.88,1,101
23989608,Couple in Condesa,162554332,Monica,,Cuauhtémoc,19.41128,-99.16572,Entire home/apt,1510,3,3,2018-10-22,0.20,2,147
23990169,Downtown space to CDMX tourist sites!,123353646,Guillermo & Abraham,,Benito Juárez,19.39726,-99.1448,Private room,707,1,21,2019-05-27,1.39,1,364
23990782,Habitación privada cerca de Narvarte y Coyoacán,180496318,Cristina,,Benito Juárez,19.37998,-99.14561,Private room,249,1,4,2018-07-19,0.27,1,180
23992063,"Depa nuevo, con diseño moderno en zona residencial",179061857,Daniela,,Benito Juárez,19.38203,-99.15334,Entire home/apt,1338,2,31,2019-04-25,2.05,2,166
23992537,"Habitación cómoda en casa, ubicación privilegiada",180514187,Martha,,Benito Juárez,19.37773,-99.14982,Private room,191,3,4,2019-03-18,0.30,1,170
23992772,Departamento Iztapalapa Periferico Eje 6 UAM,104441053,Borre,,Iztacalco,19.39844,-99.12648,Private room,191,180,0,,,1,180
